new_group,filename
Omnivore,NIST_POS_Samp_07-02
Omnivore,NIST_POS_Samp_07-03
Omnivore,NIST_POS_Samp_15-02
Omnivore,NIST_POS_Samp_13-02
Omnivore,NIST_POS_Samp_13-01
Omnivore,NIST_POS_Samp_14-01
Omnivore,NIST_POS_Samp_14-02
Omnivore,NIST_POS_Samp_07-01
Omnivore,NIST_POS_Samp_09-03
Omnivore,NIST_POS_Samp_08-02
Omnivore,NIST_POS_Samp_08-01
Omnivore,NIST_POS_Samp_09-02
Omnivore,NIST_POS_Samp_13-03
Omnivore,NIST_POS_Samp_14-03
Omnivore,NIST_POS_Samp_08-03
Omnivore,NIST_POS_Samp_15-03
Vegan,NIST_POS_Samp_10-03
Vegan,NIST_POS_Samp_11-01
Omnivore,NIST_POS_Samp_15-01
Vegan,NIST_POS_Samp_17-02
Vegan,NIST_POS_Samp_11-02
Omnivore,NIST_POS_Samp_09-01
Vegan,NIST_POS_Samp_12-03
Vegan,NIST_POS_Samp_16-03
Vegan,NIST_POS_Samp_16-01
Vegan,NIST_POS_Samp_11-03
Vegan,NIST_POS_Samp_12-02
Vegan,NIST_POS_Samp_18-01
Vegan,NIST_POS_Samp_10-02
Vegan,NIST_POS_Samp_16-02
Vegan,NIST_POS_Samp_17-03
Vegan,NIST_POS_Samp_10-01
Vegan,NIST_POS_Samp_12-01
Vegan,NIST_POS_Samp_18-02
Vegan,NIST_POS_Samp_18-03
Vegan,NIST_POS_Samp_17-01
